"date","plot","Tsoil","Tsurf","Tair","Tdiff","PAR","NEE","ET","Reco"
4,1.2,0.0551097891240793,0.0496071862418281,0.943386490052113,0.0309062495573525,0.630991649424123,0.697403644780634,0.0444425095616554,0.60513724762848
4,1.3,0.339623926889952,0.0857408359345184,0.790107011309003,0.0585908370835275,0.630991649424123,0.0189258054263221,0.804176993450777,0.314347343860601
4,2.3,0.506701687087679,0.946742487421536,0.940474971983786,0.930785272089714,1,0.104900873954182,0.120659955716589,0.857862474377914
5,1.2,0.0261457082792607,0.575352325467789,0.693319360170793,0.58416049278868,1,0.992776174292928,0.885919472822575,0.810340523752355
5,1.3,0.0768848626314695,0.446061976860899,0.452270297668734,0.481970355155418,0.946565169252436,0.952006387326283,0.953766543660911,0.964712481205283
5,2.3,0.816206035468987,0.971815538602734,0.910472670118362,0.982875385698477,0.946565169252436,0.908864467061737,0.99534807116619,0.92053887949048
6,1.2,0.00434303630117738,0.18779868639445,NA,0.143631952146704,0.580269010420425,0.937379480932294,0.375171562753771,0.732166639265732
6,1.3,0.0766568100044832,0.0812634029176329,NA,0.0577490533423352,0.580269010420425,0.0497363052866944,0.439257969996222,0.876425784611162
6,2.3,0.277255925505705,0.867130314394866,NA,0.853457532625354,1,0.0270202109399444,0.991312704448675,0.95564442098471
7,1.2,0.382994393823453,0.665395623071924,NA,NA,NA,NA,NA,NA
7,1.3,0.885579574354717,0.778890092657401,NA,NA,NA,NA,NA,NA
7,2.3,0.647751758722113,0.979400977597326,NA,NA,NA,NA,NA,NA
